Kalimat,Formalitas
senen gua eksekusi,0
senin dieksekusi,1
gw memakai nama menyesuaikan sifat lu,0
memakai nama menyesuaikan sifatmu,1
semua pertanyaan bu sugi gw bakal geser lu,0
semua pertanyaan ibu sugi berikan kepadamu,1
si derry tadi mau bunuh gua rumah nico,0
derry tadi berencana membunuh rumah nico,1
trs br nyadar kimia presentasi kelompok sama gw blm maju,0
kemudian menyadari presentasi kimia kelompok selesai,1
ngomong jgn dibikin ambigu deh,0
jangan membuat kalimat ambigu,1
sry gk ikutan kaki gw gk buat gerak,0
maaf ikut kaki digunakan bergerak,1
gw br kelar mandi,0
baru selesai mandi,1
baca berjuta kali ga ngrt,0
dibaca berjuta kali tetap mengerti,1
kl lu rasa humornya ga dapet y jgn dicentang,0
kamu merasa mendapat humornya jangan dicentang,1
mau yg bs d syg,0
mau disayang,1
serius michelle mw yg mn,0
serius michelle mau yg mana,1
fc yg td bkn gw yg pegang lg,0
fotokopi tadi bukan pegang,1
